date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:59	51728/51728	---M-Z	200	added ('OK')	text/html	etag:%22ca10-5f107efee7300-gzip%22	https://up2client.com/envato/firecall/preview_page_2.0.html	D:/call/up2client.com/envato/firecall/preview_page_2.0.html	(from )
15:44:01	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:00%20GMT	https://up2client.com/robots.txt		(from )
15:44:02	4260/4260	---M--	200	added ('OK')	image/png	etag:%2210a4-5e99441fbb5c0%22	https://up2client.com/envato/firecall/assets/images/favicon-img.png	D:/call/up2client.com/envato/firecall/assets/images/favicon-img.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:03	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-5e99441631f40-gzip%22	https://up2client.com/envato/firecall/assets/css/bootstrap.min.css	D:/call/up2client.com/envato/firecall/assets/css/bootstrap.min.css	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:03	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%2215c84-5e99441631f40-gzip%22	https://up2client.com/envato/firecall/assets/css/all.min.css	D:/call/up2client.com/envato/firecall/assets/css/all.min.css	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:03	14473/14473	---M-Z	200	added ('OK')	text/css	etag:%223889-5ed0985de9a00-gzip%22	https://up2client.com/envato/firecall/assets/css/style.css	D:/call/up2client.com/envato/firecall/assets/css/style.css	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:04	8082/8082	---M-Z	200	added ('OK')	text/css	etag:%221f92-5e99441726180-gzip%22	https://up2client.com/envato/firecall/assets/css/media-query.css	D:/call/up2client.com/envato/firecall/assets/css/media-query.css	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:04	8983/8983	---M--	200	added ('OK')	image/png	etag:%222317-5e994420af800%22	https://up2client.com/envato/firecall/assets/images/site-logo.png	D:/call/up2client.com/envato/firecall/assets/images/site-logo.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:05	6156/6156	---M--	200	added ('OK')	image/png	etag:%22180c-5e99441dd3140%22	https://up2client.com/envato/firecall/assets/images/circle-shape.png	D:/call/up2client.com/envato/firecall/assets/images/circle-shape.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:05	2130/2130	---M--	200	added ('OK')	image/png	etag:%22852-5e99441fbb5c0%22	https://up2client.com/envato/firecall/assets/images/dot-shape.png	D:/call/up2client.com/envato/firecall/assets/images/dot-shape.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:05	696/696	---M--	200	added ('OK')	image/png	etag:%222b8-5e99441ec7380%22	https://up2client.com/envato/firecall/assets/images/cross-shape.png	D:/call/up2client.com/envato/firecall/assets/images/cross-shape.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:06	7637/7637	---M--	200	added ('OK')	image/png	etag:%221dd5-5e99441beacc0%22	https://up2client.com/envato/firecall/assets/images/agent-1.png	D:/call/up2client.com/envato/firecall/assets/images/agent-1.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:06	7755/7755	---M--	200	added ('OK')	image/png	etag:%221e4b-5e99441beacc0%22	https://up2client.com/envato/firecall/assets/images/agent-2.png	D:/call/up2client.com/envato/firecall/assets/images/agent-2.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:07	8908/8908	---M--	200	added ('OK')	image/png	etag:%2222cc-5e994420af800%22	https://up2client.com/envato/firecall/assets/images/white-bg-logo.png	D:/call/up2client.com/envato/firecall/assets/images/white-bg-logo.png	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:08	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:%2213131-5e99442574340-gzip%22	https://up2client.com/envato/firecall/assets/js/bootstrap.bundle.min.js	D:/call/up2client.com/envato/firecall/assets/js/bootstrap.bundle.min.js	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:08	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9d-5e99442668580-gzip%22	https://up2client.com/envato/firecall/assets/js/jquery-min-3.6.0.js	D:/call/up2client.com/envato/firecall/assets/js/jquery-min-3.6.0.js	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:09	5860/5860	---M-Z	200	added ('OK')	application/javascript	etag:%2216e4-5ed0989075140-gzip%22	https://up2client.com/envato/firecall/assets/js/custom.js	D:/call/up2client.com/envato/firecall/assets/js/custom.js	(from https://up2client.com/envato/firecall/preview_page_2.0.html)
15:44:09	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:08%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-brands-400.woff2	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-brands-400.woff2	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:09	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:08%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-brands-400.ttf	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-brands-400.ttf	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:10	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:08%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-regular-400.woff2	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-regular-400.woff2	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:10	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:09%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-regular-400.ttf	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-regular-400.ttf	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:10	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:09%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-solid-900.woff2	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-solid-900.woff2	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:10	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:09%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-solid-900.ttf	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-solid-900.ttf	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:11	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:10%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-v4compatibility.woff2	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-v4compatibility.woff2	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:11	276/276	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2014:44:10%20GMT	https://up2client.com/envato/firecall/assets/webfonts/fa-v4compatibility.ttf	D:/call/up2client.com/envato/firecall/assets/webfonts/fa-v4compatibility.ttf	(from https://up2client.com/envato/firecall/assets/css/all.min.css)
15:44:12	513/513	---M--	200	added ('OK')	image/svg+xml	etag:%22201-5e99442b2d0c0%22	https://up2client.com/envato/firecall/assets/svg/down-arrow.svg	D:/call/up2client.com/envato/firecall/assets/svg/down-arrow.svg	(from https://up2client.com/envato/firecall/assets/css/style.css)
15:44:47	2578095/2578095	---M--	200	added ('OK')	image/png	etag:%222756af-5e99441ec7380%22	https://up2client.com/envato/firecall/assets/images/back-image.png	D:/call/up2client.com/envato/firecall/assets/images/back-image.png	(from https://up2client.com/envato/firecall/assets/css/style.css)
